groups,dimensions,effect,lower,upper
White v. African Americans,Superiority,-0.02355138916081836,-0.5688748922274037,0.521772113905767
White v. Asian Americans,Superiority,-0.6973843418035742,-1.238223775494331,-0.1565449081128174
White v. Hispanic Americans,Superiority,0.19061162485429683,-0.32242802927716385,0.7036512789857575
Asian v. African Americans,Superiority,0.5470374904611613,0.01605995710252106,1.0780150238198016
Asian v. Hispanic Americans,Superiority,0.8842474439507587,0.3488546312503493,1.419640256651168
African v. Hispanic Americans,Superiority,0.17633712916295813,-0.33907598325358174,0.691750241579498
White v. African Americans,Americanness,0.24543251091280857,-0.27737609254263973,0.7682411143682569
White v. Asian Americans,Americanness,1.1585784166450586,0.605215116794864,1.7119417164952533
White v. Hispanic Americans,Americanness,1.6927683675696776,1.162209012858164,2.2233277222811916
African v. Asian Americans,Americanness,0.8239523736890199,0.2939608492971,1.3539438980809397
African v. Hispanic Americans,Americanness,1.2660496586498748,0.7211415496719117,1.8109577676278379
Asian v. Hispanic Americans,Americanness,0.38929832010404253,-0.1246388760506939,0.903235516258779
