groups,dimension,effect,lower,upper
White v. African Americans,Superiority,0.599552661368688,0.198329410193744,1.00077591254363
White v. Asian Americans,Superiority,0.569389346049962,0.179624086054996,0.959154606044928
White v. Hispanic Americans,Superiority,1.27766757959958,0.87542890274767,1.67990625645148
Asian v. African Americans,Superiority,0.00321769137351981,-0.39436638965616,0.4008017724032
Asian v. Hispanic Americans,Superiority,0.528216622854873,0.136305410875801,0.920127834833945
African v. Hispanic Americans,Superiority,0.549238832786848,0.149854718736645,0.948622946837052
White v. African Americans,Americanness,0.767184401964703,0.358530729193739,1.17583807473567
White v. Asian Americans,Americanness,1.11212706893124,0.710790948242529,1.51346318961996
White v. Hispanic Americans,Americanness,1.76696634412072,1.36734694528909,2.16658574295234
African v. Asian Americans,Americanness,0.256137742770994,-0.147401827635374,0.659677313177362
African v. Hispanic Americans,Americanness,0.659560779012804,0.255953341728069,1.06316821629754
Asian v. Hispanic Americans,Americanness,0.395353334534827,-0.00776877382006436,0.798475442889718
