groups,dimensions,effect,lower,upper
White v. African Americans,Superiority,1.0522469473243166,0.6395085608556911,1.4649853337929422
White v. Asian Americans,Superiority,0.49765496645119883,0.10379382062805853,0.8915161122743391
White v. Hispanic Americans,Superiority,1.3610955517609225,0.9678558265260379,1.754335276995807
Asian v. African Americans,Superiority,0.5277035880641474,0.1191998743128187,0.9362073018154762
Asian v. Hispanic Americans,Superiority,0.7285074830872157,0.33016348595533723,1.126851480219094
African v. Hispanic Americans,Superiority,0.12549950794146697,-0.2518886029967496,0.5028876188796836
White v. African Americans,Americanness,0.7778205391697448,0.38316962970469076,1.172471448634799
White v. Asian Americans,Americanness,1.0365366101636475,0.6385015563643214,1.4345716639629735
White v. Hispanic Americans,Americanness,1.8183680993537008,1.4111770031425963,2.2255591955648053
African v. Asian Americans,Americanness,0.25400114778351807,-0.1581902519905649,0.666192547557601
African v. Hispanic Americans,Americanness,0.9663047949469032,0.5636753947911206,1.3689341951026859
Asian v. Hispanic Americans,Americanness,0.6966128706861459,0.28501771571469015,1.1082080256576017
